"lang","wd","pause_duration","first_part_wd_norm_duration","second_part_wd_norm_duration","complete_wd_dur","disfluency_adjacent","pause_type","ps","first_part_wd_norm","first_part_mb_norm","first_part_gl_norm","second_part_wd_norm","second_part_mb_norm","second_part_gl_norm","language"
"arap1274","<<wip>>",2196,246,859,1105,"no","disruptive","verb","neʔniiʔ","ne'= nii'-","that= when.IMPERF-","touku3oot","touku3 -oot","tie s.t. to s.t. -3S/4","Arapaho"
"arap1274","<<wip>>",1005,238,1071,1309,"no","disruptive","verb","neʔ","ne'-","then-","nestoobeit","nestoob -eit","warn -4/3S","Arapaho"
"arap1274","<<wip>>",1627,143,779,922,"no","ultra-disruptive","noun","he","hecexonoh'oe","boy","cexonohʔoe","hecexonoh'oe","boy","Arapaho"
"arap1274","<<wip>>",183,409,1159,1568,"no","disruptive","noun","honoh","ho-","2S-","nohuuxooninoo","nohuuxoon -inoo","nest -pers.PL","Arapaho"
"arap1274","<<wip>>",2567,287,954,1241,"no","disruptive","verb","heet","heet-","FUT-","cihciinenouʔu","cih- ciinen -ou'u","to here- put/place down -3PL","Arapaho"
"arap1274","<<wip>>",729,851,697,1548,"no","disruptive","verb","heʔihcihʔiiton","he'ih- cih- 'iiton-","NARRPAST- to here- both sides/ends-","3iʔokunino","3i'oku -nino","sit -4PL","Arapaho"
"arap1274","<<wip>>",640,666,518,1184,"no","disruptive","verb","ceebehʔii","ceebeh- 'ii-","PROHIB- IMPERF-","cihʔoxowu","cih- 'oxow -u'","EMPH.IMPER- feed s.o. -2PL/1S.IMPER","Arapaho"
"arap1274","<<wip>>",313,283,443,726,"no","disruptive","verb","heʔih","he'ih-","NARRPAST-","bii3","bii3i","eat s.t.","Arapaho"
"arap1274","<<wip>>",755,315,1490,1805,"no","disruptive","verb","heet","heet-","FUT-","3owoteekuutiinee","3owoteekuutii -nee","stand up/erect s.t. -2PL","Arapaho"
"arap1274","<<wip>>",630,801,693,1494,"no","disruptive","verb","heetniit","heet- niit-","FUT- where-","3iʔokut","3i'oku -t","sit -3.S","Arapaho"
"arap1274","<<wip>>",688,183,1323,1506,"no","disruptive","noun","hih","hih-","3S.PAST-","nestoobeihiit","nestoobeihiit","thing warned about","Arapaho"
"arap1274","<<wip>>",1464,445,821,1266,"no","disruptive","verb","heʔneʔ","he'ne'-","then-","koxoʔuseet","koxo'usee -t","walk slowly -3.S","Arapaho"
"arap1274","<<wip>>",477,311,1483,1794,"no","disruptive","verb","heʔneʔ","he'ne'-","then-","koxoʔnouucenoʔoot","koxo'- nouu- ceno'oo -t","slowly- outside- jump -3.S","Arapaho"
"arap1274","<<wip>>",488,340,952,1292,"no","disruptive","verb","neʔ","ne'-","then-","ciineeʔeestoot","cii~ nee'eestoo -t","REDUP~ do thus/that -3.S","Arapaho"
"arap1274","<<wip>>",192,596,1893,2489,"yes","ultra-disruptive","verb","neʔe3ebhoo","ne'- e3eb- hookonoon-","then- there- respectfully/seriously-","konoonneeʔeeneestoot","hookonoon- nee'eeneestoo -t","respectfully/seriously- do that -3.S","Arapaho"
"arap1274","<<wip>>",1359,524,848,1372,"no","disruptive","verb","neʔnihʔiis","ne'= nih'iis-","that= PAST.what/how-","niiʔehiinit","nii'eihiini -t","be eagle -3.S","Arapaho"
"arap1274","<<wip>>",605,722,793,1515,"no","ultra-disruptive","verb","Nihʔiiscii","nih'iis- cii3oowot","PAST.what/how- not believe","ii3oowotoʔ","cii3oowot -o'","not believe -3S","Arapaho"
"arap1274","<<wip>>",934,461,1395,1856,"no","disruptive","verb","toon","toon=","INDEF=","teesiniʔii3beet","teesi- ni'ii3bee -t","IC.very- cook well -3.S","Arapaho"
"arap1274","<<wip>>",434,580,726,1306,"no","disruptive","verb","heetniin","heetn- ii-","FUT- IMPERF-","noohootow","noohoot -ow","see -2S","Arapaho"
"arap1274","<<wip>>",446,683,635,1318,"yes","disruptive","verb","cebeʔei","cebe'ei-","beyond/more-","<<fs>niʔneebii3beet>","ni'- bii3bee -t","good/well- cook -3.S","Arapaho"
"arap1274","<<wip>>",498,231,1576,1807,"no","disruptive","noun","heet","he- et-","2S- FUT-","bii3woo3ooninoo","bii3woo3oon -inoo","thing cooked -pers.PL","Arapaho"
"arap1274","<<wip>>",475,316,978,1294,"no","disruptive","other","toon","toon=","INDEF=","ceebeʔeinii","ceebe'ei- ni'-","IC.beyond- good/well-","Arapaho"
"arap1274","<<wip>>",1281,276,1463,1739,"no","disruptive","verb","heet","heet-","FUT-","ciiciitenowoo3iʔ","cii~ ciitenowoo -3i'","REDUP~ take/put inside for self -3PL","Arapaho"
"arap1274","<<wip>>",1634,382,1263,1645,"no","disruptive","verb","Beh","beh-","all-","kooʔoebii3ihi3iʔ","koo'oe- bii3ihi -3i'","slow/careful- eat -3PL","Arapaho"
"arap1274","<<wip>>",1193,998,884,1882,"no","disruptive","verb","Heetniicoʔon","heetn- ii- co'on-","FUT- IMPERF- always-","noonoohowun","noo~ noohow -un","REDUP~ see -2S/1S","Arapaho"
"arap1274","<<wip>>",383,231,1386,1617,"no","ultra-disruptive","verb","Heet","heetn-","FUT-","neeneixoxonetiinoʔ","heetn- eeneixoxonetii -no'","FUT- fill -12","Arapaho"
"arap1274","<<wip>>",313,524,1166,1690,"no","disruptive","verb","heetnii","heetn- ii-","FUT- IMPERF-","niineeʔeesooʔ","nii- nee'eesoo'","IMPERF- it is thus","Arapaho"
"arap1274","<<wip>>",295,305,927,1232,"no","disruptive","verb","heet","heet-","FUT-","3iʔoku3iʔ","3i'oku -3i'","sit -3PL","Arapaho"
"arap1274","<<wip>>",664,332,1575,1907,"yes","disruptive","verb","Neʔ","ne'=","that=","neʔcihʔeiʔtowuuneinoʔ","hei'towuun ne'= cih- 'ei'towuun -eino'","tell s.o. that= to here- tell s.o. -3/12","Arapaho"
"arap1274","<<wip>>",205,394,695,1089,"no","ultra-disruptive","noun","hocoo","hocootiin","thing cooked","tiininoo","hocootiin -inoo","thing cooked -pers.PL","Arapaho"
"arap1274","<<wip>>",1507,508,1523,2031,"no","disruptive","verb","heetih","heetih-","so that-","cihʔeiʔtowuuneiʔeenee","cih- 'ei'towuun -ei'eenee","to here- tell s.o. -2PL/1PL","Arapaho"
"arap1274","<<wip>>",1280,487,1489,1976,"no","disruptive","verb","Neenee","nee~ nee~","REDUP~ REDUP~","niʔkoutootouʔu","ni'koutoot -ou'u","relish food -3PL","Arapaho"
"arap1274","<<wip>>",932,422,1147,1569,"no","disruptive","verb","heetnii","heetn- ii-","FUT- IMPERF-","coʔonnoohowun","co'on- noohow -un","always- see -2S/1S","Arapaho"
"arap1274","<<wip>>",99,449,1576,2025,"no","ultra-disruptive","verb","nih","nih'ii-","PAST.IMPERF-","ʔiiheeneti3eihi3iʔ","nih'ii- heeneti3eihi -3i'","PAST.IMPERF- spoken to -3PL","Arapaho"
"arap1274","<<wip>>",657,733,1230,1963,"no","disruptive","verb","Neeʔee3eiʔ","nee'ee3ei'-","to that degree (cleft)-","totouʔutoo3iʔ","totou'utoo -3i'","have a tough time -3PL","Arapaho"
"arap1274","<<wip>>",240,1010,1120,2130,"no","disruptive","verb","Neeʔee3eiʔnee","nee'ee3ei'nee-","that's how much-","totouʔutoo3iʔ","totou'utoo -3i'","have a tough time -3PL","Arapaho"
"arap1274","<<wip>>",1795,341,1002,1343,"no","disruptive","verb","nihʔii","nih'ii-","PAST.IMPERF-","cesistoo3iʔ","cesistoo -3i'","begin doing -3PL","Arapaho"
"arap1274","<<wip>>",319,336,831,1167,"no","disruptive","verb","niiʔ","nii'-","when.IMPERF-","cowoʔooʔ","cowo'oo -'","past (time) -0S","Arapaho"
"arap1274","<<wip>>",653,666,1647,2313,"no","disruptive","verb","niineyeih","nii- neyeih-","IMPERF- try-","noonohʔouubeihi3iʔ","noo~ noh'ouubeihi -3i'","REDUP~ invited to s.o.'s house -3PL","Arapaho"
"arap1274","<<wip>>",683,536,1023,1559,"no","disruptive","verb","niineyeih","nii- neyeih-","IMPERF- try-","nohʔouubeihi3iʔ","noh'ouubeihi -3i'","invited to s.o.'s house -3PL","Arapaho"
"arap1274","<<wip>>",773,1117,396,1513,"no","disruptive","verb","heetihbebiis","heetih- bebiis-","so that- properly-","e3eb","e3eb-","there-","Arapaho"
"arap1274","<<wip>>",417,748,1040,1788,"no","ultra-disruptive","verb","Heetneyeih","heet- neyei- heen~","FUT- try- REDUP~","eeneiʔnouʔu","heen~ e'in -ou'u","REDUP~ know -3PL","Arapaho"
"arap1274","<<wip>>",1088,532,810,1342,"no","ultra-disruptive","verb","niicoʔ","nii- co'on-","IMPERF- always-","oneenentoot","co'on- een~ entoo -t","always- REDUP~ be present -3.S","Arapaho"
"arap1274","<<wip>>",497,326,519,845,"no","ultra-disruptive","other","neʔ","ne'iini","then","iini","ne'iini","then","Arapaho"
"arap1274","<<wip>>",445,247,937,1184,"no","disruptive","verb","neʔ","ne'-","then-","cebeneihit","cebeneihi -t","passed along -3.S","Arapaho"
"arap1274","<<wip>>",537,302,795,1097,"no","disruptive","verb","nihʔii","nih'ii-","PAST.IMPERF-","nii3inoot","nii3in -oot","possess -3S/4","Arapaho"
"arap1274","<<wip>>",585,512,295,807,"no","disruptive","verb","nihcoʔon","nih- co'on-","PAST- always-","cee","cee~","REDUP~","Arapaho"
"arap1274","<<wip>>",1394,350,264,614,"no","disruptive","other","neʔ","ne'-","then-","nuhuʔ","nuhu'","this","Arapaho"
"arap1274","<<wip>>",525,350,713,1063,"no","disruptive","other","nihʔii","nih'ii-","PAST.IMPERF-","coʔoniini","co'on- -iini","always- -DETACH","Arapaho"
"arap1274","<<wip>>",1523,454,957,1411,"no","disruptive","verb","nihʔii","nih'ii-","PAST.IMPERF-","yeihonouʔu","yeihon -ou'u","chase/pursue -1S/3PL","Arapaho"
"arap1274","<<wip>>",744,471,864,1335,"no","ultra-disruptive","verb","nihʔiih","nih'ii- heeneti","PAST.IMPERF- speak","eenetiniʔ","heeneti -ni'","speak -1PL","Arapaho"
"arap1274","<<wip>>",390,564,1036,1600,"no","ultra-disruptive","verb","Neʔnihʔii","ne'= nih'ii'-","that= PAST.when-","ʔeiʔtowuunoot","nih'ii'- ei'towuun -oot","PAST.when- tell s.o. -3S/4","Arapaho"
"arap1274","<<wip>>",260,587,1102,1689,"no","ultra-disruptive","verb","Neʔnihʔii","ne'= nih'ii'-","that= PAST.when-","ʔeiʔtowuunouʔu","nih'ii'- ei'towuun -ou'u","PAST.when- tell s.o. -1S/3PL","Arapaho"
"arap1274","<<wip>>",1029,356,1275,1631,"no","disruptive","verb","nihʔii","nih'ii-","PAST.IMPERF-","niiniistiiniʔ","nii~ niistii -ni'","REDUP~ make -1PL","Arapaho"
"arap1274","<<wip>>",256,737,226,963,"yes",NA,"verb","Neʔnihʔiiʔceʔ","ne'- nih'ii'- ce'-","then- PAST.when- again-","<<wip>>","****","****","Arapaho"
"arap1274","<<wip>>",226,256,1247,1503,"yes",NA,"verb","<<wip>>","****","****","koʔeiniikoheit","ko'einiikoh -eit","circle back on horse -4/3S","Arapaho"
"arap1274","<<wip>>",805,517,1336,1853,"no","ultra-disruptive","verb","Nihʔiih","nih'ii- heen~","PAST.IMPERF- REDUP~","eenesoohobeiʔee3i","heen~ esoohob -ei'ee3i'","REDUP~ watch -3PL/1PL","Arapaho"
"arap1274","<<wip>>",580,422,923,1345,"no","disruptive","verb","Neʔnihʔiiʔ","ne'- nih'ii'-","then- PAST.when-","censineʔ","censine -'","fall down -1PL","Arapaho"
"arap1274","<<wip>>",1201,572,929,1501,"no","disruptive","other","Neʔnihʔiiʔ","ne'= nih'ii'-","that= PAST.when-","heeneis","heeneisi-","whatever/however-","Arapaho"
"arap1274","<<wip>>",626,929,422,1351,"no","ultra-disruptive","other","heeneis","heeneisi-","whatever/however-","iini","heeneisi-","whatever/however-","Arapaho"
"arap1274","<<wip>>",609,414,1568,1982,"no","ultra-disruptive","verb","Henee3","henee3nee-","IC.very-","neeniinihiʔneekuutonoʔ","henee3nee- nii~ nihi'neekuuton -o'","IC.very- REDUP~ play drum/sing fast for s.o. -1S/3S","Arapaho"
"arap1274","<<wip>>",377,300,1303,1603,"no","disruptive","verb","nih","nih-","PAST-","ʔoonooʔeixotiiniʔ","'oon~ oo'eixotiini -'","REDUP~ people are gathering [wood] -0S","Arapaho"
"arap1274","<<wip>>",1185,313,791,1104,"no","disruptive","verb","nihʔii","nih'ii-","PAST.IMPERF-","woniinouuhuʔ","won- iinouuhu -'","ALLAT- climb around -1PL","Arapaho"
"arap1274","<<wip>>",428,320,842,1162,"no","disruptive","verb","Heet","heet-","FUT-","cenoʔoo3oʔ","ceno'oo3 -o'","jump at s.o. -1S/3S","Arapaho"
"arap1274","<<wip>>",800,481,1059,1540,"no","disruptive","verb","nihʔii","nih'ii-","PAST.IMPERF-","tootoʔobetiʔ","too- to'obeti -'","almost(but not quite)- hit e.o. -1PL","Arapaho"
"arap1274","<<wip>>",1590,485,1710,2195,"no","disruptive","verb","Neʔnihʔiiʔ","ne'= nih'ii'-","that= PAST.when-","3ebooxoo3nihʔoniinoʔ","3eb- ooxoo3- nih'onii -no'","there- homewards- try hard -12","Arapaho"
"arap1274","<<wip>>",238,180,872,1052,"no","disruptive","pro","hii","hii-","IMPERF.IMPER-","heʔiiteihi3i","he'iiteihi3i","someone","Arapaho"
"arap1274","<<wip>>",1820,347,1140,1487,"no","disruptive","verb","nihʔii","nih'ii-","PAST.IMPERF-","heeneinseeniʔ","heeneinisee -ni'","wander around -1PL","Arapaho"
"arap1274","<<wip>>",353,587,1209,1796,"no","disruptive","verb","Neʔnihʔiiʔ","ne'= nih'ii'-","that= PAST.when-","niiniisoʔoonoo","nii~ niiso'oo -noo","REDUP~ on one's own -1S","Arapaho"
"arap1274","<<wip>>",452,494,964,1458,"no","disruptive","verb","nihʔii","nih'ii-","PAST.IMPERF-","booboo3ouʔu","booboo3 -ou'u","fight against -1S/3PL","Arapaho"
"arap1274","<<wip>>",1500,443,795,1238,"no","disruptive","verb","nihʔii","nih'ii-","PAST.IMPERF-","heenei","heenei-","****","Arapaho"
"arap1274","<<wip>>",482,795,1368,2163,"no","disruptive","verb","heenei","heenei-","****","ʔoonoo3itoohuniʔ","oon~ oo3itoohu -ni'","REDUP~ tell each other a story -1PL","Arapaho"
"arap1274","<<wip>>",1978,576,1584,2160,"no","disruptive","verb","neʔnihʔiiʔ","ne'= nih'ii'-","that= PAST.when-","bebiiscehʔe3tonee3iʔ","bebiis- ceh'e3ton -ee3i'","properly- listen to s.o. -1PL/3PL","Arapaho"
"arap1274","<<wip>>",198,462,840,1302,"no","disruptive","verb","Neʔiiʔ","ne'ii'-","that's when-","niibeiʔiniʔ","niibei'i -ni'","sing -1PL","Arapaho"
"arap1274","<<wip>>",602,621,1464,2085,"no","disruptive","verb","Neʔnihʔiiʔ","ne'= nih'ii'-","that= PAST.when-","niinihʔoubeihiʔ","nii- nih'oubeihi -'","IMPERF- scolded -1PL","Arapaho"
"arap1274","<<wip>>",1117,268,1205,1473,"yes","disruptive","verb","neʔ","ne'-","then-","heeneʔinowuniʔ","heen~ e'in -owuni'","REDUP~ know -1PL","Arapaho"
"arap1274","<<wip>>",292,415,1386,1801,"no","disruptive","verb","Nihʔii","nih'ii-","PAST.IMPERF-","kookohtowutoonoʔ","koo~ kohtowutoo -no'","REDUP~ do s.t. harmful -12","Arapaho"
"arap1274","<<wip>>",445,381,1057,1438,"no","ultra-disruptive","verb","nihʔiih","nih'ii- heeneti3eihi","PAST.IMPERF- spoken to","eeneti3eihi3iʔ","heeneti3eihi -3i'","spoken to -3PL","Arapaho"
"arap1274","<<wip>>",1747,323,1665,1988,"no","disruptive","verb","Nihbiʔ","nih- bi'-","PAST- just-","xouuweiʔtowuuneihi3iʔ","xouuw- ei'towuuneihi -3i'","straight- told something -3PL","Arapaho"
"arap1274","<<wip>>",477,401,852,1253,"no","disruptive","verb","neʔnihʔiiʔ","ne'= nih'ii'-","that= PAST.when-","yihoo3iʔ","yihoo -3i'","go -3PL","Arapaho"
"arap1274","<<wip>>",477,479,1132,1611,"no","ultra-disruptive","verb","neʔnihʔii","ne'- nih'ii'-","then- PAST.when-","ʔoxouʔeiʔoot","nih'ii'- oxou'ei'oo -t","PAST.when- smile -3.S","Arapaho"
"arap1274","<<wip>>",1367,507,957,1464,"no","ultra-disruptive","verb","Neʔnihʔii","ne'= nih'ii'-","that= PAST.when-","ʔheiʔtowuuneit","nih'ii'- hei'towuun -eit","PAST.when- tell something to s.o. -4/3S","Arapaho"
"arap1274","<<wip>>",852,366,712,1078,"no","disruptive","verb","heebeh","heebeh-","2.POTENT-","ʔesisin","'esisine","hurt from falling","Arapaho"
"arap1274","<<wip>>",299,248,937,1185,"no","disruptive","verb","Hii","hii-","IMPERF.IMPER-","cehʔe3tonin","ceh'e3ton -in","listen to s.o. -3.IMPER","Arapaho"
"arap1274","<<wip>>",908,744,948,1692,"no","disruptive","verb","Nihkooʔoe","nih- koo'oe-","PAST- slowly-","3ii3iʔokut","3ii~ 3i'oku -t","REDUP~ sit -3.S","Arapaho"
"arap1274","<<wip>>",246,518,1096,1614,"no","disruptive","verb","Neʔnihʔiiʔ","ne'= nih'ii'-","that= PAST.when-","woteihoʔyeinoo","woteiho'yei -noo","play drum -1S","Arapaho"
"arap1274","<<wip>>",1084,446,485,931,"no","ultra-disruptive","verb","nihʔiih","nih'ii- hiten","PAST.IMPERF- get/take","itenoʔ","hiten -o'","get/take -3S","Arapaho"
"arap1274","<<wip>>",764,460,546,1006,"no","disruptive","verb","neʔnihʔiiʔ","ne'= nih'ii'-","that= PAST.when-","biiheit","biih -eit","make cry -4/3S","Arapaho"
"arap1274","<<wip>>",843,220,836,1056,"no","disruptive","verb","nii","nii-","IMPERF-","koʔusiʔi","ko'usi -'i","alight on/at -3PL","Arapaho"
"arap1274","<<wip>>",368,170,1466,1636,"yes","disruptive","verb","nii","nii-","IMPERF-","ceʔcii3ihʔohu3iʔ","ce'- cii3ih'ohu -3i'","back- fly in an area -3PL","Arapaho"
"arap1274","<<wip>>",901,662,1444,2106,"no","ultra-disruptive","verb","Niih","nii- heeneinih'ohu","IMPERF- fly all around","eeneinihʔohu3iʔ","heeneinih'ohu -3i'","fly all around -3PL","Arapaho"
"arap1274","<<wip>>",322,671,1196,1867,"no","disruptive","verb","heet","heet-","FUT-","niinihʔohu3iʔ","niinih'ohu -3i'","fly around -3PL","Arapaho"
"arap1274","<<wip>>",662,768,306,1074,"no","ultra-disruptive","noun","neisiiho","ne- isiihoho'","1S- grandchildren","hoʔ","isiihoho'","grandchildren","Arapaho"
"arap1274","<<wip>>",1051,855,884,1739,"no","disruptive","verb","niiceesei","nii- ceesei-","IMPERF- quickly, easily-","neeteihinoo","neeteihi -noo","tired -1S","Arapaho"
"arap1274","<<wip>>",1465,410,1380,1790,"no","disruptive","verb","nihbiʔ","nih- bi'-","PAST- just-","nottoneihiitooniʔ","nottoneihiitooni -'","people are questioned about s.t. -0S","Arapaho"
"arap1274","<<wip>>",259,371,1174,1545,"no","disruptive","verb","niibiʔ","nii- bi'-","IMPERF- just-","bee3tootiiniʔ","bee3tootiini -'","people finish s.t. -0S","Arapaho"
"arap1274","<<wip>>",954,420,1172,1592,"no","disruptive","verb","Neʔniiʔ","ne'nii'-","that is when (cleft)-","ce3koohu3iʔ","ce3koohu -3i'","set off (driving) -3PL","Arapaho"
"arap1274","<<wip>>",2131,593,1244,1837,"no","disruptive","verb","niinosou","nii- nosou-","IMPERF- still-","3ii3iʔookuu3iʔ","3ii~ 3i'ookuu -3i'","REDUP~ stand -3PL","Arapaho"
"arap1274","<<wip>>",1130,416,959,1375,"no","disruptive","verb","Nihwon","nih- won-","PAST- ALLAT-","niiihootiiniʔ","niiihootiini -'","people set up camp -0S","Arapaho"
"arap1274","<<wip>>",727,491,888,1379,"no","disruptive","verb","heetcih","heet- cih-","FUT- to here-","niiteheibin","niiteheib -in","help -2S/1S","Arapaho"
"arap1274","<<wip>>",610,488,993,1481,"no","disruptive","verb","Hiihoowbeet","hiihoow- beet-","0.IMPERF.NEG- want to-","niiniiteheibeene","nii~ niiteheibeenebiitooni","REDUP~ people think about helping e.o.","Arapaho"
"arap1274","<<wip>>",220,993,666,1659,"no","ultra-disruptive","verb","niiniiteheibeene","nii~ niiteheibeenebiitooni","REDUP~ people think about helping e.o.","biitoon","niiteheibeenebiitooni","people think about helping e.o.","Arapaho"
"arap1274","<<wip>>",518,514,1657,2171,"no","disruptive","verb","Hoowbeet","hoow- beet-","0.NEG- want to-","wonniiteheibeenebiitoon","won- niiteheibeenebiitooni","ALLAT- people think about helping e.o.","Arapaho"
"arap1274","<<wip>>",826,420,1323,1743,"no","disruptive","verb","neʔ","ne'-","then-","niiniʔitoo3iʔ","nii~ ni'itoo -3i'","REDUP~ do good -3PL","Arapaho"
"arap1274","<<wip>>",1579,371,949,1320,"no","disruptive","verb","nih","nih-","PAST-","niiniʔooʔ","nii~ ni'oo -'","REDUP~ good -0S","Arapaho"
"arap1274","<<wip>>",1103,471,1089,1560,"no","disruptive","verb","koonoh","koonoh-","IC.all-","nihʔoo3ounooʔooʔ","nih'oo3ounoo'oo -'","turning whiteman way -0S","Arapaho"
"arap1274","<<wip>>",555,482,1452,1934,"no","disruptive","verb","Hoowooh","hoowooh-","no longer-","niiteheibeenebiitoon","niiteheibeenebiitooni","people think about helping e.o.","Arapaho"
"arap1274","<<wip>>",177,332,1250,1582,"no","disruptive","verb","nih","nih-","PAST-","nottoneihiitooniʔ","nottoneihiitooni -'","people are questioned about s.t. -0S","Arapaho"
"arap1274","<<wip>>",978,305,1009,1314,"no","disruptive","verb","nihʔii","nih'ii-","PAST.IMPERF-","niistonei3iʔ","niiston -i3i'","make for -3PL/1S","Arapaho"
"arap1274","<<wip>>",294,307,1158,1465,"no","disruptive","verb","Neʔ","ne'-","then-","niistonei3iʔ","niiston -ei3i'","make for -4/3PL","Arapaho"
"arap1274","<<wip>>",411,409,1386,1795,"no","disruptive","verb","Niibiʔ","nii- bi'-","IMPERF- just-","cebkoohuutooniʔ","cebkoohuutooni -'","people drive (along) -0S","Arapaho"
"arap1274","<<wip>>",242,656,788,1444,"no","disruptive","verb","Heetneihoow","heetneihoow-","2.FUT.NEG-","nottoneih","nottoneihi","asked s.t.","Arapaho"
"arap1274","<<wip>>",1519,484,1169,1653,"no","disruptive","verb","neʔniiʔ","ne'nii'-","that is when (cleft)-","cihwoʔwusee3iʔ","cih- wo'wusee -3i'","to here- walk further -3PL","Arapaho"
"arap1274","<<wip>>",470,156,555,711,"no","ultra-disruptive","noun","<<fm>A>","Arapaho","Arapaho","<<fm>rapaho>","Arapaho","Arapaho","Arapaho"
"arap1274","<<wip>>",1903,519,1446,1965,"no","disruptive","verb","Nee3nee","nee3nee-","very-","ciinooʔonbeteenooʔ","ciinoo'on- beteenoo -'","fairly- sacred/holy -0S","Arapaho"
"arap1274","<<wip>>",1068,331,987,1318,"yes","disruptive","verb","Neʔ","ne'-","then-","ce3eiʔoo3iʔ","ce3ei'oo -3i'","set off -3PL","Arapaho"
"arap1274","<<wip>>",539,514,1194,1708,"no","disruptive","verb","siihow","sii-","very, really-","hoowoenetinoʔ","hoow- eeneti -no'","NEG- speak -pers.PL","Arapaho"
"bain1259","<<wip>>",239,177,257,434,"no","ultra-disruptive","other","am","ampagai","many","pagai","ampagai","many","Baïnounk Gubëeher"
"bain1259","<<wip>>",838,148,331,479,"no","disruptive","noun","gu","gu-","Cl.gu-","kese","kese","peeled rice","Baïnounk Gubëeher"
"bain1259","<<wip>>",85,315,380,695,"yes","ultra-disruptive","verb","finw","f- in- wuul","2SG- FOC.SUBJ see","ulom","wuul -om","see -3SG.O","Baïnounk Gubëeher"
"bain1259","<<wip>>",239,98,483,581,"no","disruptive","verb","ga","g- a-","Cond- Cl.a-","cuufuti","cuuf -ut -i","overflow -Ven -Perf","Baïnounk Gubëeher"
"bain1259","<<wip>>",1177,411,312,723,"no","disruptive","other","jicum","jicum","tomorrow","konom","-konom","-3SgPoss","Baïnounk Gubëeher"
"bain1259","<<wip>>",141,252,369,621,"no","disruptive","verb","ku","kum- bul","INF- stay.overnight","mbuli","kum- bul -i","INF- stay.overnight -PERF","Baïnounk Gubëeher"
"bain1259","<<wip>>",298,179,173,352,"no","disruptive","other","a","a-","3-","cen","cen","red","Baïnounk Gubëeher"
"bain1259","<<wip>>",92,636,356,992,"no","disruptive","verb","gayenoonuŋ","g- a- yen -oonuŋ","Cond- 3- say -2Pl.Obj","ne","-ne","-Sub","Baïnounk Gubëeher"
"bain1259","<<wip>>",127,479,489,968,"no","disruptive","noun","gutuma","gu- tuma","**** story","hënito","-hënito","-1Pl.incl.Poss","Baïnounk Gubëeher"
