"lang","file","speaker","wd_ID","wd","start","end","ref","tx","ft","mb_ID","mb","ps","gl","ph_ID","ph"
"arap1274","doreco_arap1274_32b","45","w003713","<p:>",184.389,185.28,"0046_doreco_arap1274_32b","tih'etniixoo'utei'i, heetne'ceece'einou'u.","once they are dried out, then they will put them in containers.","m006518","<p:>","<p:>","<p:>","p002362","<p:>"
"arap1274","doreco_arap1274_32b","45","w003714","heetneʔ",185.28,185.938,"0046_doreco_arap1274_32b","tih'etniixoo'utei'i, heetne'ceece'einou'u.","once they are dried out, then they will put them in containers.","m006519 m006520","heet- ne'-","prefix- prefix-","FUT- then-","p002363 p002364 p002365 p002366 p002367 p002368","h E: t n E ?"
"arap1274","doreco_arap1274_32b","45","w003715","<<wip>>",185.938,186.242,"0046_doreco_arap1274_32b","tih'etniixoo'utei'i, heetne'ceece'einou'u.","once they are dried out, then they will put them in containers.","m006521","****","****","****","p002369","<<wip>>"
"arap1274","doreco_arap1274_32b","45","w003716","ceeceʔeinouʔu",186.242,187.3,"0046_doreco_arap1274_32b","tih'etniixoo'utei'i, heetne'ceece'einou'u.","once they are dried out, then they will put them in containers.","m006522 m006523 m006524","cee~ ce'ein -ou'u","prefix~ vti -infl","REDUP~ bag up/put in bag -3PL","p002370 p002371 p002372 p002373 p002374 p002375 p002376 p002377 p002378 p002379","tS E: tS E ? ei n o} ? }"
"arap1274","doreco_arap1274_32b","45","w003717","<p:>",187.3,188.36,"<p:>","<p:>","<p:>","m006525","<p:>","<p:>","<p:>","p002380","<p:>"
"arap1274","doreco_arap1274_32b","45","w003766","ciini",228.742,229.274,"0060_doreco_arap1274_32b","ciini      heetnoononohinee.","If you don't [live right], you will decline.","m006606","ciini","prefix.det","not be","p002713 p002714 p002715 p002716","tS I: n I"
"arap1274","doreco_arap1274_32b","45","w003767","heet",229.274,229.533,"0060_doreco_arap1274_32b","ciini      heetnoononohinee.","If you don't [live right], you will decline.","m006607","heet-","prefix-","FUT-","p002717 p002718 p002719","h E: t"
"arap1274","doreco_arap1274_32b","45","w003768","<<wip>>",229.533,229.845,"0060_doreco_arap1274_32b","ciini      heetnoononohinee.","If you don't [live right], you will decline.","m006608","****","****","****","p002720","<<wip>>"
"arap1274","doreco_arap1274_32b","45","w003769","noononohinee",229.845,230.706,"0060_doreco_arap1274_32b","ciini      heetnoononohinee.","If you don't [live right], you will decline.","m006609 m006610","noononohi -nee","vai -infl","decline -2PL","p002721 p002722 p002723 p002724 p002725 p002726 p002727 p002728 p002729 p002730","n O: n O n O h I n E:"
"arap1274","doreco_arap1274_32b","45","w003770","cihnoonoʔooʔ",230.706,231.517,"0061_doreco_arap1274_32b","cihnoono'oo',                  nee'eeneihi3i'.","That is coming, that's what they said.","m006611 m006612 m006613 m006614","cih- noo~ no'oo -'","prefix- prefix~ vii -infl","to here- REDUP~ arrive -0S","p002731 p002732 p002733 p002734 p002735 p002736 p002737 p002738 p002739 p002740","tS I h n O: n O ? O: ?"
"arap1274","doreco_arap1274_32b","45","w003857","<p:>",318.667,318.997,"0084_doreco_arap1274_32b","Tooniini ce'no'woohoniini,                     noh behPcesis                             ce'iniinihiini heeyouhuu.","When unity is almost achieved, then everyone begins (to tear things apart ??? ) again.","m006771","<p:>","<p:>","<p:>","p003406","<p:>"
"arap1274","doreco_arap1274_32b","45","w003858","beh",318.997,319.157,"0084_doreco_arap1274_32b","Tooniini ce'no'woohoniini,                     noh behPcesis                             ce'iniinihiini heeyouhuu.","When unity is almost achieved, then everyone begins (to tear things apart ??? ) again.","m006772","****","****","****","p003407 p003408 p003409","b E h"
"arap1274","doreco_arap1274_32b","45","w003859","<<wip>>",319.157,319.731,"0084_doreco_arap1274_32b","Tooniini ce'no'woohoniini,                     noh behPcesis                             ce'iniinihiini heeyouhuu.","When unity is almost achieved, then everyone begins (to tear things apart ??? ) again.","m006773","****","****","****","p003410","<<wip>>"
"arap1274","doreco_arap1274_32b","45","w003860","cesis",319.731,320.14,"0084_doreco_arap1274_32b","Tooniini ce'no'woohoniini,                     noh behPcesis                             ce'iniinihiini heeyouhuu.","When unity is almost achieved, then everyone begins (to tear things apart ??? ) again.","m006774","****","****","****","p003411 p003412 p003413 p003414 p003415","tS E s I s"
"arap1274","doreco_arap1274_32b","45","w003861","ceʔiniinihiini",320.14,321.183,"0084_doreco_arap1274_32b","Tooniini ce'no'woohoniini,                     noh behPcesis                             ce'iniinihiini heeyouhuu.","When unity is almost achieved, then everyone begins (to tear things apart ??? ) again.","m006775 m006776","cesis- ce'iniinihiini","prefix- ****","begin- ****","p003416 p003417 p003418 p003419 p003420 p003421 p003422 p003423 p003424 p003425 p003426 p003427","tS E ? I n I: n I h I: n I"
"arap1274","doreco_arap1274_6","35","w005176","hoo3itoo",3.011,3.753,"0001_doreco_arap1274_6","Ceese' hoo3itoo... hinono'eino', hi'in                nih'iisoo';","Another story about the Arapahos, how it was in the past;","m008928","hoo3itoo","ni","story","p004586 p004587 p004588 p004589 p004590 p004591","h O: T I t O:"
"arap1274","doreco_arap1274_6","35","w005177","hi",3.753,3.947,"0001_doreco_arap1274_6","Ceese' hoo3itoo... hinono'eino', hi'in                nih'iisoo';","Another story about the Arapahos, how it was in the past;","m008929","hinono'eino'","na.pl","Arapahos","p004592 p004593","h I"
"arap1274","doreco_arap1274_6","35","w005178","<<wip>>",3.947,4.131,"0001_doreco_arap1274_6","Ceese' hoo3itoo... hinono'eino', hi'in                nih'iisoo';","Another story about the Arapahos, how it was in the past;","m008930","****","****","****","p004594","<<wip>>"
"arap1274","doreco_arap1274_6","35","w005179","nonoʔeinoʔ",4.131,4.867,"0001_doreco_arap1274_6","Ceese' hoo3itoo... hinono'eino', hi'in                nih'iisoo';","Another story about the Arapahos, how it was in the past;","m008931","hinono'eino'","na.pl","Arapahos","p004595 p004596 p004597 p004598 p004599 p004600 p004601 p004602 p004603","n O n O ? ei n O ?"
"arap1274","doreco_arap1274_6","35","w005180","<p:>",4.867,11.223,"0001_doreco_arap1274_6","Ceese' hoo3itoo... hinono'eino', hi'in                nih'iisoo';","Another story about the Arapahos, how it was in the past;","m008932","<p:>","<p:>","<p:>","p004604","<p:>"
"arap1274","doreco_arap1274_6","35","w005223","niiʔeihiihoʔ",56.585,57.425,"0010_doreco_arap1274_6","niine'eeno'  nuhu' nii'eihiiho'; nih'iico'ouu3i'i             nenee3i'.","Regarding these eagles; the ones who were high.","m008995 m008996","nii'eihii -ho'","na -infl","eagle -NA.PL","p004850 p004851 p004852 p004853 p004854 p004855 p004856 p004857 p004858","n I: ? ei h I: h O ?"
"arap1274","doreco_arap1274_6","35","w005224","nihʔii",57.425,57.93,"0010_doreco_arap1274_6","niine'eeno'  nuhu' nii'eihiiho'; nih'iico'ouu3i'i             nenee3i'.","Regarding these eagles; the ones who were high.","m008997","nih'ii-","prefix-","PAST.IMPERF-","p004859 p004860 p004861 p004862 p004863","n I h ? I:"
"arap1274","doreco_arap1274_6","35","w005225","<<wip>>",57.93,59.762,"0010_doreco_arap1274_6","niine'eeno'  nuhu' nii'eihiiho'; nih'iico'ouu3i'i             nenee3i'.","Regarding these eagles; the ones who were high.","m008998","****","****","****","p004864","<<wip>>"
"arap1274","doreco_arap1274_6","35","w005226","coʔouu3iʔi",59.762,60.932,"0010_doreco_arap1274_6","niine'eeno'  nuhu' nii'eihiiho'; nih'iico'ouu3i'i             nenee3i'.","Regarding these eagles; the ones who were high.","m008999 m009000","co'ouu3i -'i","vai -infl","high -3PL","p004865 p004866 p004867 p004868 p004869 p004870 p004871 p004872","tS O ? o}: T I ? I"
"arap1274","doreco_arap1274_6","35","w005227","<p:>",60.932,63.25,"0010_doreco_arap1274_6","niine'eeno'  nuhu' nii'eihiiho'; nih'iico'ouu3i'i             nenee3i'.","Regarding these eagles; the ones who were high.","m009001","<p:>","<p:>","<p:>","p004873","<p:>"
"arap1274","doreco_arap1274_6","35","w005307","hiit",150.283,150.65,"0028_doreco_arap1274_6","he'ihnoohobee           hiit nih'iitnohuuxoneeni3i.","He saw here where [some eagles] had their nest.","m009119","hiit","part","here","p005317 p005318 p005319","h I: t"
"arap1274","doreco_arap1274_6","35","w005308","nihʔiit",150.65,151.082,"0028_doreco_arap1274_6","he'ihnoohobee           hiit nih'iitnohuuxoneeni3i.","He saw here where [some eagles] had their nest.","m009120","nih'iit-","prefix+prefix.rel-","PAST.where-","p005320 p005321 p005322 p005323 p005324 p005325","n I h ? I: t"
"arap1274","doreco_arap1274_6","35","w005309","<<wip>>",151.082,151.504,"0028_doreco_arap1274_6","he'ihnoohobee           hiit nih'iitnohuuxoneeni3i.","He saw here where [some eagles] had their nest.","m009121","****","****","****","p005326","<<wip>>"
"arap1274","doreco_arap1274_6","35","w005310","nohuuxoneeni3i",151.504,152.908,"0028_doreco_arap1274_6","he'ihnoohobee           hiit nih'iitnohuuxoneeni3i.","He saw here where [some eagles] had their nest.","m009122 m009123","nohuuxonee -ni3i","vai -infl","have a nest/be nesting -4PL","p005327 p005328 p005329 p005330 p005331 p005332 p005333 p005334 p005335 p005336 p005337 p005338","n O h }: x O n E: n I T I"
"arap1274","doreco_arap1274_6","35","w005311","<p:>",152.908,157.87,"<p:>","<p:>","<p:>","m009124","<p:>","<p:>","<p:>","p005339","<p:>"
"arap1274","doreco_arap1274_6","35","w005343","in",198.769,198.882,"0034_doreco_arap1274_6","he'ih'e'in    heetniistoot.","He knew what he was going to do.","m009168","****","****","****","p005505 p005506","I n"
"arap1274","doreco_arap1274_6","35","w005344","heet",198.882,199.158,"0034_doreco_arap1274_6","he'ih'e'in    heetniistoot.","He knew what he was going to do.","m009169","heet-","prefix-","FUT-","p005507 p005508 p005509","h E: t"
"arap1274","doreco_arap1274_6","35","w005345","<<wip>>",199.158,199.67,"0034_doreco_arap1274_6","he'ih'e'in    heetniistoot.","He knew what he was going to do.","m009170","****","****","****","p005510","<<wip>>"
"arap1274","doreco_arap1274_6","35","w005346","niistoot",199.67,200.581,"0034_doreco_arap1274_6","he'ih'e'in    heetniistoot.","He knew what he was going to do.","m009171 m009172","niistoo -t","vai -infl","do -3.S","p005511 p005512 p005513 p005514 p005515 p005516","n I: s t O: t"
"arap1274","doreco_arap1274_6","35","w005347","<p:>",200.581,202.11,"<p:>","<p:>","<p:>","m009173","<p:>","<p:>","<p:>","p005517","<p:>"
"arap1274","doreco_arap1274_6","35","w005371","heʔihcihʔooxouʔoonino",223.08,224.811,"0039_doreco_arap1274_6","he'ihcih'ooxou'oonino, he'ih'oonoo3ii3ie'ne'","They flew down close to him, they grazed him [with their talons].","m009211 m009212 m009213 m009214","he'ih- cih- 'ooxou'oo -nino","proclitic+prefix- prefix- vai -infl","DUBIT.PAST- to here- fly down close to(?) -4PL","p005658 p005659 p005660 p005661 p005662 p005663 p005664 p005665 p005666 p005667 p005668 p005669 p005670 p005671 p005672 p005673 p005674 p005675","h E ? I h tS I h ? O: x o} ? O: n I n O"
"arap1274","doreco_arap1274_6","35","w005372","heʔih",224.811,224.945,"0039_doreco_arap1274_6","he'ihcih'ooxou'oonino, he'ih'oonoo3ii3ie'ne'","They flew down close to him, they grazed him [with their talons].","m009215","he'ih-","prefix-","NARRPAST-","p005676 p005677 p005678 p005679 p005680","h E ? I h"
"arap1274","doreco_arap1274_6","35","w005373","<<wip>>",224.945,225.242,"0039_doreco_arap1274_6","he'ihcih'ooxou'oonino, he'ih'oonoo3ii3ie'ne'","They flew down close to him, they grazed him [with their talons].","m009216","****","****","****","p005681","<<wip>>"
"arap1274","doreco_arap1274_6","35","w005374","ʔoonoo3ii3ieʔneʔ",225.242,226.63,"0039_doreco_arap1274_6","he'ihcih'ooxou'oonino, he'ih'oonoo3ii3ie'ne'","They flew down close to him, they grazed him [with their talons].","m009217 m009218 m009219","'oon~ oo3ii3ie'n -e'","prefix~ vta -infl","REDUP~ graze with talons -4/3S","p005682 p005683 p005684 p005685 p005686 p005687 p005688 p005689 p005690 p005691 p005692 p005693 p005694","? O: n O: T I: T I E ? n E ?"
"arap1274","doreco_arap1274_6","35","w005375","<p:>",226.63,227.97,"<p:>","<p:>","<p:>","m009220","<p:>","<p:>","<p:>","p005695","<p:>"
"arap1274","doreco_arap1274_6","35","w005392","ʔoh",245.316,245.415,"0044_doreco_arap1274_6","'oh     ne'nei'ooceinoot 3ebhoowuuhu'.         Heetne'P...","And then he held on tight to it, [lowering himself] on down there. That's when...","m009247","'oh","part","but/and","p005782 p005783 p005784","? O h"
"arap1274","doreco_arap1274_6","35","w005393","neʔ",245.415,245.71,"0044_doreco_arap1274_6","'oh     ne'nei'ooceinoot 3ebhoowuuhu'.         Heetne'P...","And then he held on tight to it, [lowering himself] on down there. That's when...","m009248","ne'-","prefix-","then-","p005785 p005786 p005787","n E ?"
"arap1274","doreco_arap1274_6","35","w005394","<<wip>>",245.71,247.08,"0044_doreco_arap1274_6","'oh     ne'nei'ooceinoot 3ebhoowuuhu'.         Heetne'P...","And then he held on tight to it, [lowering himself] on down there. That's when...","m009249","****","****","****","p005788","<<wip>>"
"arap1274","doreco_arap1274_6","35","w005395","neiʔooceinoot",247.08,248.153,"0044_doreco_arap1274_6","'oh     ne'nei'ooceinoot 3ebhoowuuhu'.         Heetne'P...","And then he held on tight to it, [lowering himself] on down there. That's when...","m009250 m009251","nei'oocein -oot","vta -infl","hold on tightly to rope -3S/4","p005789 p005790 p005791 p005792 p005793 p005794 p005795 p005796 p005797","n ei ? O: tS ei n O: t"
"arap1274","doreco_arap1274_6","35","w005396","<p:>",248.153,249.67,"0044_doreco_arap1274_6","'oh     ne'nei'ooceinoot 3ebhoowuuhu'.         Heetne'P...","And then he held on tight to it, [lowering himself] on down there. That's when...","m009252","<p:>","<p:>","<p:>","p005798","<p:>"
"arap1274","doreco_arap1274_6","35","w005408","ʔoh",257.389,257.588,"0045_doreco_arap1274_6","'oh     hinee hee3ebhi'to'owoot, nuh'uu[no] hitou. he'ihcih'i3kuutiini3i.              'oh ne'nih'ii'3ei'eikuu3oot niisiyoo3oone',     hu'un nii'eihiiho.","And he struck this [eaglet] down there with his blanket [and covered it]. They grabbed [at the blanket]. But then he put one inside a bag, [one of] those eagles.","m009273","'oh","part","but/and","p005870 p005871 p005872","? O h"
"arap1274","doreco_arap1274_6","35","w005409","neʔnihʔiiʔ",257.588,257.996,"0045_doreco_arap1274_6","'oh     hinee hee3ebhi'to'owoot, nuh'uu[no] hitou. he'ihcih'i3kuutiini3i.              'oh ne'nih'ii'3ei'eikuu3oot niisiyoo3oone',     hu'un nii'eihiiho.","And he struck this [eaglet] down there with his blanket [and covered it]. They grabbed [at the blanket]. But then he put one inside a bag, [one of] those eagles.","m009274 m009275","ne'= nih'ii'-","proclitic= prefix+rel-","that= PAST.when-","p005873 p005874 p005875 p005876 p005877 p005878 p005879 p005880 p005881","n E ? n I h ? I: ?"
"arap1274","doreco_arap1274_6","35","w005410","<<wip>>",257.996,259.389,"0045_doreco_arap1274_6","'oh     hinee hee3ebhi'to'owoot, nuh'uu[no] hitou. he'ihcih'i3kuutiini3i.              'oh ne'nih'ii'3ei'eikuu3oot niisiyoo3oone',     hu'un nii'eihiiho.","And he struck this [eaglet] down there with his blanket [and covered it]. They grabbed [at the blanket]. But then he put one inside a bag, [one of] those eagles.","m009276","****","****","****","p005882","<<wip>>"
"arap1274","doreco_arap1274_6","35","w005411","3eiʔeikuu3oot",259.389,260.456,"0045_doreco_arap1274_6","'oh     hinee hee3ebhi'to'owoot, nuh'uu[no] hitou. he'ihcih'i3kuutiini3i.              'oh ne'nih'ii'3ei'eikuu3oot niisiyoo3oone',     hu'un nii'eihiiho.","And he struck this [eaglet] down there with his blanket [and covered it]. They grabbed [at the blanket]. But then he put one inside a bag, [one of] those eagles.","m009277 m009278","3eiikuu3 -oot","vta -infl","stuff quickly inside s.t. -3S/4","p005883 p005884 p005885 p005886 p005887 p005888 p005889 p005890 p005891","T ei ? ei k }: T O: t"
"arap1274","doreco_arap1274_6","35","w005412","<p:>",260.456,261.38,"0045_doreco_arap1274_6","'oh     hinee hee3ebhi'to'owoot, nuh'uu[no] hitou. he'ihcih'i3kuutiini3i.              'oh ne'nih'ii'3ei'eikuu3oot niisiyoo3oone',     hu'un nii'eihiiho.","And he struck this [eaglet] down there with his blanket [and covered it]. They grabbed [at the blanket]. But then he put one inside a bag, [one of] those eagles.","m009279","<p:>","<p:>","<p:>","p005892","<p:>"
"arap1274","doreco_arap1274_6","35","w005439","ʔoh",294.355,294.456,"0050_doreco_arap1274_6","hee3nehno'eeckoohut. 'oh     ne'nii'touku3oot.","He arrived back home there. Then he tied up [the eaglet].","m009323","'oh","part","but/and","p006037 p006038 p006039","? O h"
"arap1274","doreco_arap1274_6","35","w005440","neʔniiʔ",294.456,294.702,"0050_doreco_arap1274_6","hee3nehno'eeckoohut. 'oh     ne'nii'touku3oot.","He arrived back home there. Then he tied up [the eaglet].","m009324 m009325","ne'= nii'-","proclitic= prefix-","that= when.IMPERF-","p006040 p006041 p006042 p006043 p006044 p006045","n E ? n I: ?"
"arap1274","doreco_arap1274_6","35","w005441","<<wip>>",294.702,296.898,"0050_doreco_arap1274_6","hee3nehno'eeckoohut. 'oh     ne'nii'touku3oot.","He arrived back home there. Then he tied up [the eaglet].","m009326","****","****","****","p006046","<<wip>>"
"arap1274","doreco_arap1274_6","35","w005442","touku3oot",296.898,297.757,"0050_doreco_arap1274_6","hee3nehno'eeckoohut. 'oh     ne'nii'touku3oot.","He arrived back home there. Then he tied up [the eaglet].","m009327 m009328","touku3 -oot","vta -infl","tie s.t. to s.t. -3S/4","p006047 p006048 p006049 p006050 p006051 p006052 p006053","t o} k } T O: t"
"arap1274","doreco_arap1274_6","35","w005443","<p:>",297.757,301.81,"<p:>","<p:>","<p:>","m009329","<p:>","<p:>","<p:>","p006054","<p:>"
"arap1274","doreco_arap1274_6","35","w005465","wohei",320.79,320.962,"0057_doreco_arap1274_6","wohei ne'nestoobeit","Well then [the elder] warned him.","m009358","wohei","part","okay","p006163 p006164 p006165 p006166","w O h ei"
"arap1274","doreco_arap1274_6","35","w005466","neʔ",320.962,321.2,"0057_doreco_arap1274_6","wohei ne'nestoobeit","Well then [the elder] warned him.","m009359","ne'-","prefix-","then-","p006167 p006168 p006169","n E ?"
"arap1274","doreco_arap1274_6","35","w005467","<<wip>>",321.2,322.205,"0057_doreco_arap1274_6","wohei ne'nestoobeit","Well then [the elder] warned him.","m009360","****","****","****","p006170","<<wip>>"
"arap1274","doreco_arap1274_6","35","w005468","nestoobeit",322.205,323.276,"0057_doreco_arap1274_6","wohei ne'nestoobeit","Well then [the elder] warned him.","m009361 m009362","nestoob -eit","vta -infl","warn -4/3S","p006171 p006172 p006173 p006174 p006175 p006176 p006177 p006178","n E s t O: b ei t"
"arap1274","doreco_arap1274_6","35","w005469","<p:>",323.276,327.37,"<p:>","<p:>","<p:>","m009363","<p:>","<p:>","<p:>","p006179","<p:>"
